city,state,latitude,longitude,source
BLAIR,WI,44.327131,-91.299402,census
BLAIRS,VA,36.699268,-79.378910,census
BLAIRSVILLE,PA,40.432490,-79.259881,census
BLAKESLEE,PA,41.092513,-75.592668,nominatim
BLANCO,TX,30.098594,-98.417106,census
BLAND,VA,37.099492,-81.115765,census
BLANDFORD,MA,42.175006,-72.923862,census
BLISS,ID,42.924284,-114.947516,census
BLOOMER,WI,45.102828,-91.491540,census
BLOOMFIELD,IN,39.026134,-86.937364,census
BLOOMINGDALE,GA,32.124998,-81.308387,census
BLOOMINGDALE,IL,41.951525,-88.089118,census
BLOOMINGTON,IL,40.475777,-88.969912,census
BLOOMINGTON,IN,39.163700,-86.524264,census
BLOOMSBURG,PA,41.002717,-76.456580,census
BLOOMSBURY,NJ,40.656886,-75.076225,census
BLOOMSDALE,MO,38.014442,-90.220352,census
BLOSSBURG,PA,41.679525,-77.068951,census
BLOUNTSTOWN,FL,30.442850,-85.045401,census
BLUE EARTH,MN,43.640994,-94.100339,census
BLUFFTON,IN,40.743479,-85.172111,census
BLUNT,SD,44.515940,-99.988556,census
BLYTHE,GA,33.303066,-82.207357,census
BLYTHEVILLE,AR,35.934066,-89.905133,census
BLYTHEWOOD,SC,34.209247,-80.995293,census
BOARDMAN,OR,45.836507,-119.692793,census
BOAZ,AL,34.199020,-86.155151,census
BOGATA,TX,33.469793,-95.213550,census
BOIS D ARC,MO,37.256438,-93.507696,nominatim
BOISE,ID,43.600229,-116.231656,census
BOISE CITY,OK,36.731336,-102.509522,census
BOLES,AR,34.788119,-94.049397,census
BOLINGBROOK,IL,41.688062,-88.100965,census
BOLIVAR,MO,37.606697,-93.416709,census
BONDUEL,WI,44.737994,-88.451350,census
BONDURANT,IA,41.698000,-93.457741,census
BONITA SPRINGS,FL,26.355011,-81.784234,census
BONNERS FERRY,ID,48.693579,-116.317019,census
BOONVILLE,MO,38.961439,-92.746203,census
BORDENTOWN,NJ,40.149693,-74.707679,census
BORGER,TX,35.659435,-101.402360,census
BOSCOBEL,WI,43.147132,-90.705141,census
BOSSIER CITY,LA,32.523674,-93.655426,census
BOULDER,MT,46.235840,-112.119749,census
BOUND BROOK,NJ,40.567749,-74.537250,census
BOURBON,IN,41.299394,-86.116852,census
BOURBONNAIS,IL,41.183002,-87.878465,census
BOW,NH,43.133061,-71.549149,nominatim
BOWIE,AZ,32.324880,-109.484456,census
BOWIE,TX,33.556959,-97.846101,census
BOWLING GREEN,KY,36.975653,-86.435962,census
BOWLING GREEN,MO,39.344774,-91.202488,census
BOWMAN,ND,46.184324,-103.402946,census
BOWMAN,SC,33.348302,-80.684293,census
BOWMANSVILLE,PA,40.201730,-76.021030,census
BOX ELDER,SD,44.110941,-103.081066,census
BOYCE,LA,31.389895,-92.670374,census
BOYLSTON,MA,42.353279,-71.734358,nominatim
BOYNTON BEACH,FL,26.528334,-80.080722,census
BRACEY,VA,36.581233,-78.113798,census
BRADENTON,FL,27.489798,-82.576804,census
BRADNER,OH,41.323884,-83.436366,census
BRADY,TX,31.115378,-99.345935,census
BRAINERD,MN,46.355269,-94.198372,census
BRAMAN,OK,36.923644,-97.335815,census
BRANCHVILLE,SC,33.251712,-80.816078,census
BRANDON,SD,43.592908,-96.583769,census
BRANDYWINE,MD,38.682077,-76.885314,census
BRANFORD,CT,41.279541,-72.815099,nominatim
BRANFORD,FL,29.962250,-82.924284,census
BRASELTON,GA,34.107616,-83.812908,census
BRATTLEBORO,VT,42.861623,-72.559216,census
BRAWLEY,CA,32.978454,-115.528569,census
BRAZIL,IN,39.522449,-87.124479,census
BREAUX BRIDGE,LA,30.283099,-91.905919,census
